# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	31502
#@/user_id	sylvan-macbook
a 	啊	c=37 d=1.04009 t=30881
xi chen 	系陈	c=1 d=1 t=27436
xi er 	希尔	c=1 d=0.101395 t=5092
xi fan 	稀饭	c=1 d=1 t=26324
xi fu 	媳妇	c=1 d=1 t=3729
xi gai 	膝盖	c=4 d=1 t=27176
xi guan 	习惯	c=6 d=0.00740944 t=31502
xi huan 	喜欢	c=11 d=0.00612731 t=31502
xi jie 	细节	c=2 d=1 t=27652
xi ju 	戏剧	c=1 d=0.115903 t=31502
xi kan 	细看	c=1 d=1 t=9918
xi kan kan 	细看砍	c=1 d=1 t=7620
xi lie 	系列	c=5 d=0.254107 t=31502
xi ma 	戏吗	c=1 d=1 t=28095
xi ma la ya 	喜马拉雅	c=1 d=1 t=28097
xi n 	系嗯	c=1 d=1 t=4617
xi nao 	洗脑	c=1 d=1 t=6644
xi ri 	昔日	c=1 d=1 t=21210
xi shen shang 	系身上	c=2 d=1 t=11014
xi sheng 	牺牲	c=0 d=0.1 t=2283
xi sheng ai 	牺牲爱	c=1 d=1 t=2284
xi shou 	吸收	c=2 d=1.91851 t=9694
xi shou 	洗手	c=1 d=1 t=15945
xi ti 	习题	c=1 d=0.187308 t=31502
xi tong 	系统	c=6 d=0.104874 t=31502
xi wang 	希望	c=2 d=1.00705 t=6721
xi xi 	嘻嘻	c=1 d=1 t=28798
xia 	下	c=233 d=0.967145 t=31502
xia ban 	下班	c=4 d=1 t=20441
xia ci 	下次	c=3 d=1 t=23953
xia dan 	下单	c=22 d=2.0565 t=29700
xia fang 	下方	c=1 d=1 t=25384
xia ge 	下个	c=1 d=1 t=2875
xia lai 	下来	c=3 d=1 t=24343
xia mian 	下面	c=11 d=1.67587 t=18550
xia qu 	下去	c=2 d=1 t=23743
xia ren 	吓人	c=1 d=1 t=9765
xia ri 	夏日	c=1 d=1 t=26550
xia wu 	下午	c=25 d=1.00448 t=28328
xia xia 	下下	c=1 d=1 t=18554
xia xia xia 	下下下	c=1 d=1 t=7723
xia yi bu 	下一步	c=2 d=1 t=19358
xia yi ge 	下一个	c=1 d=0.814647 t=31502
xia ying chun 	下迎春	c=1 d=1 t=15006
xia zai 	下载	c=10 d=0.133081 t=31502
xia zhong 	下中	c=1 d=1 t=28296
xia zhou 	下周	c=4 d=1 t=30812
xian 	先	c=60 d=1.24401 t=31502
xian 	显	c=0 d=0.1 t=4007
xian 	现	c=7 d=1 t=11251
xian 	线	c=10 d=1 t=30481
xian 	藓	c=1 d=1 t=8205
xian 	闲	c=1 d=1 t=5027
xian 	限	c=2 d=1.32465 t=8431
xian 	险	c=1 d=1 t=13321
xian ai 	腺癌	c=1 d=1 t=25135
xian chang 	现场	c=4 d=1 t=11303
xian che xu 	先车需	c=1 d=1 t=27437
xian chen 	先陈	c=1 d=1 t=28277
xian cheng 	现成	c=2 d=1 t=28278
xian dai 	现代	c=1 d=1 t=24683
xian jin 	先进	c=1 d=1 t=28603
xian mu 	羡慕	c=2 d=1 t=26638
xian ren 	贤人	c=1 d=1 t=24770
xian sang chen 	先桑陈	c=1 d=1 t=2149
xian shang 	线上	c=21 d=1.00009 t=25358
xian shang hao 	线上好	c=1 d=1 t=11305
xian shi 	显示	c=21 d=5.70756 t=31502
xian shi qi 	显示器	c=1 d=1 t=17376
xian wei jing 	显微镜	c=2 d=0.645411 t=31502
xian xia 	线下	c=2 d=1 t=17867
xian yong 	先用	c=1 d=1 t=12815
xian you 	现有	c=6 d=1.56554 t=18419
xian yu 	咸鱼	c=3 d=2.38827 t=7953
xian zai 	现在	c=99 d=0.141582 t=31502
xian zhi 	限制	c=9 d=1.00003 t=26126
xiang 	像	c=13 d=0.108067 t=31502
xiang 	向	c=3 d=1 t=30606
xiang 	想	c=80 d=0.270518 t=31502
xiang 	相	c=2 d=0.00319873 t=31502
xiang 	祥	c=11 d=1 t=31187
xiang 	项	c=1 d=0.0814647 t=31502
xiang 	香	c=6 d=1 t=29260
xiang ba 	想把	c=1 d=1 t=10551
xiang bi 	相比	c=1 d=0.458406 t=31502
xiang ce 	相册	c=1 d=1 t=26750
xiang dang 	相当	c=1 d=1 t=22649
xiang dao 	想到	c=1 d=1 t=23811
xiang di 	想地	c=2 d=1.0754 t=24483
xiang fa 	想法	c=1 d=1 t=26319
xiang gang 	香港	c=13 d=3.80888 t=22115
xiang guan 	相关	c=12 d=0.284834 t=31502
xiang he 	祥和	c=1 d=1 t=12569
xiang mai 	想买	c=1 d=1 t=25024
xiang mu 	项目	c=34 d=1.06687 t=30966
xiang qin 	相亲	c=1 d=1 t=10021
xiang qing 	详情	c=12 d=1.34138 t=31358
xiang qing ye 	详情也	c=1 d=1 t=27408
xiang qu 	想去	c=2 d=1 t=17421
xiang shou 	享受	c=1 d=1 t=24695
xiang shuo 	想说	c=1 d=1 t=16233
xiang tiao 	像条	c=1 d=1 t=5775
xiang tong 	相同	c=2 d=1 t=26130
xiang xiang 	想想	c=3 d=1 t=14511
xiang xiang 	项想	c=1 d=1 t=28557
xiang xin 	相信	c=1 d=1 t=3213
xiang yao 	想要	c=2 d=0.00394621 t=31502
xiang ying 	响应	c=3 d=0.1 t=23045
xiang ying 	相应	c=2 d=1.9802 t=14754
xiang ying shi 	响应是	c=1 d=1 t=23046
xiao 	小	c=107 d=0.394339 t=31502
xiao 	效	c=1 d=1 t=28545
xiao 	晓	c=64 d=1.99042 t=30671
xiao 	校	c=1 d=1 t=15492
xiao 	消	c=1 d=1 t=21676
xiao bai 	小白	c=1 d=1 t=28902
xiao bu 	小步	c=1 d=1 t=8062
xiao cheng xu 	小程序	c=1 d=1 t=17530
xiao de 	晓得	c=16 d=1 t=29822
xiao di 	小弟	c=1 d=1 t=7080
xiao di fang 	小地方	c=1 d=1 t=16925
xiao dui 	小队	c=1 d=1 t=22983
xiao feng 	晓峰	c=9 d=1.99022 t=30666
xiao guo 	效果	c=7 d=0.116484 t=31502
xiao hai 	小孩	c=1 d=1 t=30007
xiao he 	小鹤	c=2 d=0.866303 t=31502
xiao jing xi 	小惊喜	c=1 d=0.00375375 t=31502
xiao kai 	小开	c=1 d=1 t=4658
xiao lao di 	小老弟	c=1 d=1 t=7066
xiao lin 	小林	c=2 d=0.392586 t=31502
xiao lv 	效率	c=3 d=1 t=28692
xiao n 	小嗯	c=1 d=1 t=10507
xiao pang zi 	小胖子	c=5 d=1.00142 t=28053
xiao qu 	小区	c=2 d=1.88692 t=3965
xiao rong 	笑容	c=1 d=0.0539337 t=31502
xiao shi 	小时	c=7 d=0.1 t=20679
xiao shuo 	小说	c=1 d=0.106719 t=31502
xiao tui 	小腿	c=1 d=1 t=23951
xiao wen ti 	小问题	c=1 d=1 t=21441
xiao xi 	消息	c=9 d=1.95964 t=29579
xiao xiao 	小小	c=1 d=1 t=24969
xiao xiao qi 	消消气	c=1 d=1 t=24611
xiao xu qiu 	小需求	c=2 d=1 t=15714
xiao yan 	校验	c=1 d=1 t=23452
xiao you 	校友	c=1 d=1 t=6439
xiao zhang 	校长	c=0 d=0.1 t=30159
xie 	些	c=22 d=1.17688 t=31502
xie 	写	c=110 d=2.3817 t=31502
xie 	携	c=2 d=1 t=16469
xie 	鞋	c=3 d=1.17005 t=5073
xie cheng 	携程	c=5 d=1 t=26772
xie dai 	携带	c=2 d=1 t=13901
xie de 	写得	c=1 d=0.0685632 t=31502
xie fa 	写法	c=8 d=1.99501 t=30381
xie hui 	协会	c=2 d=0.0173815 t=31502
xie le 	写了	c=2 d=1.00533 t=15818
xie qi 	邪气	c=0 d=0.1 t=14776
xie qi lai 	写起来	c=1 d=1 t=14779
xie qi le 	邪气了	c=2 d=1.99501 t=14778
xie ru 	写入	c=1 d=1 t=22992
xie wan 	写完	c=3 d=1 t=26303
xie wen 	写文	c=1 d=0.00377257 t=31502
xie xia 	写下	c=1 d=1 t=18752
xie xie 	写写	c=4 d=1.05843 t=28062
xie xie 	谢谢	c=15 d=1.18301 t=28412
xie yi 	协议	c=4 d=1.04667 t=4942
xie zai 	卸载	c=3 d=0.00135358 t=31502
xie zhu 	协助	c=2 d=1.01569 t=26635
xie zuo 	写作	c=6 d=0.366476 t=31502
xin 	信	c=5 d=1 t=22447
xin 	心	c=2 d=1.98511 t=24802
xin 	新	c=37 d=1.36717 t=31502
xin 	薪	c=2 d=1.00101 t=21246
xin jia 	新家	c=1 d=1 t=13719
xin jian 	新建	c=2 d=1.33658 t=31502
xin ka 	新卡	c=1 d=1 t=4875
xin ku 	辛苦	c=2 d=1.99005 t=12034
xin lang 	新浪	c=4 d=3.97017 t=15004
xin li 	心里	c=3 d=2.31749 t=12130
xin liu 	心流	c=1 d=0.00343067 t=31502
xin tai 	心态	c=3 d=1.99005 t=24715
xin wen 	新闻	c=4 d=1.54335 t=24652
xin xi 	信息	c=30 d=1.00025 t=30118
xin xian 	新鲜	c=1 d=1 t=11953
xin xing 	新型	c=2 d=1.72979 t=6132
xin xiong 	心胸	c=1 d=1 t=24423
xin yang 	信仰	c=1 d=1 t=27645
xin yong 	信用	c=1 d=1 t=20904
xin zeng 	新增	c=3 d=0.970446 t=31502
xin zi 	薪资	c=3 d=2.92168 t=19770
xing 	型	c=2 d=1.01916 t=21065
xing 	性	c=5 d=2.18305 t=24800
xing 	星	c=1 d=1 t=16013
xing 	行	c=37 d=0.980199 t=31502
xing 	饧	c=1 d=1 t=19865
xing chen 	星辰	c=2 d=1.92312 t=16011
xing cheng 	行程	c=2 d=1 t=15660
xing gang 	行刚	c=1 d=1 t=10871
xing guan 	行关	c=1 d=1 t=23545
xing hao 	型号	c=3 d=1.00888 t=18663
xing li 	行李	c=3 d=1.01869 t=15365
xing ming 	姓名	c=1 d=1 t=4838
xing mu 	醒目	c=2 d=1 t=26283
xing neng 	性能	c=4 d=2.98506 t=16472
xing qi 	星期	c=2 d=1.39063 t=6563
xing qi tian 	星期天	c=1 d=1 t=8486
xing qiu 	星球	c=2 d=1.121 t=31502
xing qu 	兴趣	c=4 d=1.00004 t=29064
xing shi 	形势	c=2 d=1.00001 t=20025
xing shi 	形式	c=1 d=1 t=17688
xing shi 	行驶	c=1 d=1 t=17689
xing wei 	行为	c=3 d=1 t=23507
xing xing 	星星	c=1 d=1 t=19578
xiong 	凶	c=2 d=1.90484 t=19975
xiong di 	兄弟	c=0 d=0.1 t=23966
xiong di men 	兄弟们	c=1 d=1 t=23967
xiu 	休	c=1 d=1 t=6377
xiu 	修	c=13 d=1 t=29698
xiu 	秀	c=1 d=1 t=27003
xiu 	羞	c=2 d=1.97045 t=16502
xiu 	貅	c=3 d=2.98506 t=16495
xiu da da 	修大大	c=2 d=1.956 t=16501
xiu da da 	羞哒达	c=2 d=1.4607 t=16683
xiu fa 	秀发	c=1 d=1 t=30512
xiu fu 	修复	c=34 d=0.856415 t=31502
xiu gai 	修改	c=28 d=1.95629 t=31502
xiu lian 	修炼	c=4 d=1.96163 t=9147
xiu xi 	休息	c=2 d=1 t=15689
xiu xin 	修新	c=1 d=1 t=24798
xiu xiu 	秀秀	c=1 d=1.09501 t=23700
xiu xiu bu bu 	秀秀步步	c=1 d=1 t=23701
xiu yang 	修养	c=1 d=1 t=24647
xu 	需	c=11 d=0.123993 t=30159
xu 	须	c=1 d=1 t=15258
xu fei 	续费	c=1 d=1 t=4634
xu fu wu 	需服务	c=1 d=1 t=25487
xu gou 	虚构	c=1 d=0.0889931 t=31502
xu lie 	序列	c=2 d=1 t=13106
xu ming 	虚名	c=0 d=0.0132655 t=31502
xu qiu 	需求	c=41 d=3.08167 t=30062
xu shi 	叙事	c=1 d=0.092089 t=31502
xu yao 	需要	c=35 d=0.169454 t=31502
xu zheng 	需整	c=1 d=1 t=15255
xuan 	宣	c=1 d=0.216536 t=31502
xuan 	选	c=18 d=1 t=29705
xuan ce 	选测	c=1 d=1 t=26911
xuan che 	选车	c=2 d=1.97531 t=28965
xuan chuan 	宣传	c=1 d=1 t=2604
xuan ci 	选词	c=1 d=0.810584 t=31502
xuan hao 	选好	c=1 d=1 t=14978
xuan qu 	选取	c=1 d=1 t=24118
xuan ran 	渲染	c=2 d=1.99005 t=31003
xuan xiang 	选项	c=2 d=0.860708 t=31502
xuan yong 	选用	c=1 d=1 t=26832
xuan ze 	选择	c=11 d=0.316637 t=31502
xuan zhe 	悬着	c=2 d=1 t=26582
xuan zhong 	选中	c=3 d=1.00279 t=23909
xue 	学	c=10 d=1.01151 t=24782
xue ba 	学吧	c=1 d=1 t=24511
xue gao 	雪糕	c=1 d=1 t=222
xue hui 	学会	c=2 d=0.0466538 t=31502
xue mei 	学妹	c=1 d=1 t=24780
xue shi 	学士	c=2 d=1.7827 t=11772
xue wan 	学玩	c=1 d=0.250324 t=31502
xue wei 	学位	c=4 d=1.00001 t=11773
xue xi 	学习	c=27 d=1 t=31150
xue xiao 	学校	c=5 d=2.62194 t=16673
xue xue 	学学	c=1 d=1 t=15876
xue zha 	学炸	c=1 d=1 t=24585
xun 	寻	c=1 d=1 t=26088
xun 	询	c=5 d=1.10491 t=5047
xun fei 	讯飞	c=1 d=1 t=12697
xun hang 	巡航	c=1 d=1 t=26937
ya 	丫	c=1 d=1 t=16762
ya 	呀	c=19 d=0.414497 t=31502
ya 	雅	c=0 d=0.1 t=28096
ya jiong en 	呀迥嗯	c=1 d=1 t=28209
ya li 	压力	c=3 d=0.429557 t=31502
ya shua 	牙刷	c=1 d=1 t=9289
ya suo 	压缩	c=1 d=1 t=30578
ya yin 	牙龈	c=2 d=1 t=17471
ya zhou 	亚洲	c=1 d=1 t=28359
ya zi 	鸭子	c=1 d=1 t=16500
yan 	厌	c=2 d=1.98511 t=15395
yan 	厣	c=2 d=1.99005 t=15396
yan 	烟	c=1 d=1 t=18037
yan 	盐	c=4 d=1.2921 t=28656
yan 	眼	c=7 d=1 t=26604
yan 	言	c=2 d=1 t=24348
yan 	验	c=5 d=1.00181 t=26882
yan bian 	演变	c=1 d=1 t=6642
yan fa 	研发	c=1 d=1 t=19891
yan fan 	厌烦	c=1 d=1 t=30802
yan jia 	验价	c=8 d=1 t=28435
yan jian 	眼见	c=1 d=1 t=29569
yan jing 	眼睛	c=2 d=1.00019 t=19841
yan jiu 	研究	c=5 d=1.00007 t=20249
yan ran 	俨然	c=1 d=0.0862936 t=31502
yan se 	颜色	c=12 d=1.0251 t=30252
yan shi 	延时	c=3 d=1 t=26888
yan shi 	演示	c=2 d=1.96561 t=17415
yan shou 	验收	c=17 d=1.00002 t=28791
yan suan 	演算	c=1 d=1 t=15560
yan yan 	炎炎	c=1 d=1 t=26551
yan zhe 	沿着	c=1 d=1 t=26881
yan zheng 	验证	c=30 d=1.00001 t=31345
yan zheng ma 	验证码	c=2 d=1 t=27951
yan zhong 	严重	c=1 d=1 t=2514
yang 	养	c=12 d=1 t=30146
yang 	样	c=16 d=2.0979 t=29765
yang 	氧	c=1 d=1 t=9679
yang cheng 	养成	c=1 d=0.00729913 t=31502
yang geng 	样更	c=5 d=2.98356 t=18738
yang guang 	阳光	c=1 d=1 t=8499
yang hang 	央行	c=1 d=1 t=18736
yang jun 	杨君	c=2 d=1 t=25807
yang qi 	氧气	c=3 d=2.58036 t=9695
yang shi 	样式	c=27 d=0.528808 t=31502
yang xing 	养性	c=2 d=1.09926 t=24794
yang yang 	养养	c=1 d=1 t=572
yang yang 	痒痒	c=1 d=1 t=571
yang zi 	样子	c=1 d=1 t=29437
yao 	姚	c=5 d=1 t=14904
yao 	尧	c=1 d=1 t=28702
yao 	要	c=195 d=1.0818 t=31502
yao ba 	要把	c=1 d=1 t=30372
yao bu 	要不	c=2 d=1 t=15915
yao bu yao 	要不要	c=1 d=1 t=436
yao chang 	要长	c=1 d=0.082085 t=31502
yao de 	要得	c=1 d=1 t=20921
yao huan 	要换	c=3 d=2.91708 t=26927
yao lao shi 	姚老师	c=1 d=1 t=8974
yao me 	要么	c=3 d=1 t=26966
yao qing 	邀请	c=1 d=1 t=30448
yao shi 	要是	c=1 d=1 t=28766
yao you 	要有	c=1 d=1 t=18730
ye 	也	c=177 d=1.37738 t=31502
ye 	页	c=19 d=1.25891 t=31502
ye jiu shi 	也就是	c=1 d=1 t=29401
ye m 	页呒	c=5 d=1.00048 t=28998
ye mei you 	也没有	c=1 d=1 t=21347
ye mian 	页面	c=25 d=1.0581 t=30525
ye nan 	也难	c=1 d=0.165299 t=31502
ye qian 	页前	c=1 d=0.548812 t=31502
ye qian 	页签	c=9 d=3.54006 t=31502
ye shi 	也是	c=13 d=1.19334 t=21609
ye shi 	野史	c=1 d=0.108609 t=31502
ye suan 	叶酸	c=1 d=1 t=29119
ye wu 	业务	c=19 d=1.07031 t=28615
ye xing 	也行	c=3 d=1 t=17063
ye yao 	也要	c=2 d=1 t=18574
ye you 	也有	c=1 d=1 t=7401
ye yu 	业余	c=1 d=1 t=23532
ye zhi 	也只	c=1 d=0.0769192 t=31502
ye zi 	叶子	c=2 d=0.033575 t=31502
yi 	一	c=31 d=0.320992 t=31502
yi 	义	c=10 d=1.70822 t=29791
yi 	亿	c=1 d=1 t=26087
yi 	以	c=16 d=0.453845 t=31502
yi 	依	c=1 d=1 t=17257
yi 	已	c=63 d=3.48266 t=31502
yi 	易	c=3 d=1.81058 t=9298
yi 	逸	c=6 d=2.09498 t=31330
yi ban 	一半	c=4 d=1 t=29418
yi ban 	一版	c=1 d=1 t=26305
yi ban 	一般	c=17 d=0.734639 t=31502
yi bao 	一包	c=1 d=1 t=29345
yi bei 	一倍	c=1 d=1 t=26976
yi bei zi 	一辈子	c=1 d=1 t=27794
yi ben 	一本	c=2 d=0.164807 t=31502
yi bian 	一边	c=7 d=1.00203 t=30163
yi bian 	一遍	c=1 d=1.099 t=6666
yi bian 	以便	c=0 d=0.1 t=6664
yi bian yi bian 	一遍以便	c=1 d=1 t=6665
yi bin 	宜宾	c=1 d=1 t=23931
yi bo 	一波	c=9 d=1.15848 t=29341
yi bu 	一步	c=2 d=1 t=12255
yi bu 	一部	c=1 d=0.0211736 t=31502
yi bu 	异步	c=5 d=1.98027 t=18723
yi bu fen 	一部分	c=3 d=0.00220948 t=31502
yi bu yi liu 	异步遗留	c=1 d=1 t=17256
yi chang 	异常	c=8 d=1.00197 t=16957
yi chu 	移除	c=6 d=1.20406 t=26641
yi ci 	一次	c=12 d=1.09498 t=24994
yi cu 	已粗	c=1 d=1 t=22720
yi cun zai 	已存在	c=1 d=1 t=34
yi dan 	一旦	c=1 d=0.00433948 t=31502
yi dao 	一道	c=1 d=1 t=7910
yi di 	异地	c=1 d=1 t=11633
yi dian 	一点	c=25 d=1.00555 t=30096
yi dian dian 	一点点	c=4 d=1 t=29254
yi ding 	一定	c=5 d=0.00974106 t=31502
yi dong 	以东	c=1 d=1 t=30778
yi dong 	易懂	c=1 d=1 t=30765
yi dong 	移动	c=2 d=1.71177 t=24107
yi duan 	一段	c=4 d=1 t=28937
yi dui 	一堆	c=5 d=1.03159 t=23156
yi dun 	一顿	c=1 d=1 t=6712
yi duo hua 	一朵花	c=1 d=1 t=14903
yi er zai 	一而再	c=1 d=1 t=5716
yi fang 	一方	c=1 d=1 t=6729
yi fang 	以防	c=0 d=0.1 t=7406
yi fang wan yi 	以防万一	c=1 d=1 t=7407
yi fen 	一份	c=2 d=1 t=24660
yi fu 	衣服	c=2 d=1 t=29175
yi gai 	一改	c=1 d=1 t=28715
yi ge 	一个	c=160 d=1.15937 t=31502
yi ge ge 	一个个	c=3 d=1.70822 t=31030
yi ge kuai 	一个块	c=1 d=1 t=28039
yi hou 	以后	c=17 d=2.25677 t=28024
yi ji 	一级	c=1 d=1 t=13131
yi ji 	以及	c=6 d=1.00047 t=22161
yi jia 	一家	c=2 d=1.93707 t=3909
yi jia 	宜家	c=3 d=2.95101 t=18667
yi jian 	一键	c=6 d=1.04054 t=26256
yi jian 	意见	c=9 d=1.0034 t=30048
yi jing 	已经	c=27 d=0.669873 t=31502
yi ju 	依据	c=3 d=1.72253 t=13962
yi kan 	已看	c=2 d=0.537944 t=31502
yi kou qi 	一口气	c=1 d=0.0665368 t=31502
yi kuai 	一块	c=3 d=1.03206 t=28729
yi kuai qian 	一块钱	c=1 d=1 t=10000
yi lai 	依赖	c=6 d=1 t=26647
yi lian 	一脸	c=1 d=1 t=13316
yi liang 	一辆	c=1 d=1 t=26926
yi lie 	一列	c=2 d=1.72615 t=10452
yi liu 	遗留	c=5 d=1 t=20612
yi lu 	一路	c=1 d=1 t=3321
yi mao 	一毛	c=0 d=0.1 t=5600
yi mao yi yang 	一毛一样	c=1 d=1 t=5601
yi n geng 	一嗯更	c=1 d=1 t=1977
yi nei 	以内	c=1 d=1 t=26991
yi pi 	一批	c=1 d=1 t=25855
yi pian 	一篇	c=8 d=2.6922 t=24249
yi qi 	一期	c=1 d=1 t=23826
yi qi 	一汽	c=1 d=1 t=26787
yi qi 	一起	c=44 d=1.56795 t=30207
yi qian 	以前	c=16 d=1.9802 t=31083
yi qing 	疫情	c=4 d=1 t=20040
yi quan 	一圈	c=1 d=1 t=29145
yi qun 	一群	c=1 d=1 t=20406
yi shang 	以上	c=1 d=1 t=16954
yi shi 	一时	c=1 d=1 t=24739
yi shi 	意识	c=1 d=1 t=24738
yi shi jian 	一时间	c=1 d=1 t=24524
yi shou 	一手	c=1 d=1 t=7959
yi shou 	一首	c=0 d=0.00213864 t=31502
yi shu 	艺术	c=1 d=1 t=16049
yi si 	一丝	c=1 d=1 t=21312
yi si 	意思	c=23 d=0.0437196 t=31502
yi su 	已速	c=1 d=0.1 t=29987
yi su juan 	已速卷	c=1 d=1 t=29988
yi tang 	一趟	c=3 d=1 t=13584
yi tao 	一套	c=2 d=1 t=28736
yi tian 	一天	c=5 d=2.97025 t=29344
yi tian tian 	一天天	c=1 d=1 t=30149
yi tiao 	一条	c=17 d=0.527982 t=31502
yi tong guo 	已通过	c=1 d=0.600496 t=31502
yi tuo 	一托	c=2 d=1.1108 t=28451
yi wan cheng 	逸完成	c=1 d=1 t=31331
yi wei 	一位	c=1 d=0.00618889 t=31502
yi wei 	以为	c=9 d=1 t=27550
yi wei 	异味	c=1 d=1 t=30781
yi wen 	疑问	c=2 d=1.93707 t=21547
yi wu 	义务	c=1 d=1 t=16604
yi xi 	依稀	c=0 d=0.1 t=6108
yi xi a 	依稀阿	c=1 d=1 t=6109
yi xi er 	已希尔	c=1 d=1 t=5093
yi xia 	一下	c=141 d=1.2541 t=31502
yi xia 	以下	c=2 d=0.136695 t=31502
yi xia wu 	已下午	c=1 d=1 t=21567
yi xia xia 	一下下	c=1 d=1 t=12536
yi xiang 	一项	c=3 d=1 t=28558
yi xiao jian da 	以小见大	c=1 d=0.0963276 t=31502
yi xie 	一些	c=38 d=1.00577 t=31163
yi xie ren 	一些人	c=1 d=1 t=16595
yi xing 	易行	c=1 d=1 t=26086
yi yang 	一样	c=36 d=0.26319 t=31502
yi yi 	意义	c=3 d=1.21762 t=25717
yi you 	已有	c=3 d=1.00217 t=17191
yi yuan 	医院	c=1 d=0.00228818 t=31502
yi zhan 	驿站	c=1 d=0.0357931 t=31502
yi zhang 	一张	c=2 d=1.00543 t=3612
yi zhao 	一招	c=1 d=1 t=9232
yi zhi 	一只	c=2 d=1.85214 t=18938
yi zhi 	一直	c=23 d=1.9802 t=31084
yi zhi 	一致	c=1 d=1 t=6648
yi zhong 	一种	c=8 d=0.012605 t=31502
yi zhou 	一周	c=1 d=0.0639279 t=31502
yi zi 	椅子	c=1 d=1 t=12099
yin 	引	c=4 d=1.97531 t=31257
yin 	殷	c=1 d=1 t=19258
yin 	银	c=1 d=1 t=29444
yin 	音	c=2 d=1 t=27208
yin cang 	隐藏	c=4 d=0.932394 t=31502
yin chu 	引出	c=1 d=1 t=10601
yin ci 	因此	c=1 d=0.438235 t=31502
yin hang 	银行	c=17 d=1.95123 t=27317
yin hang ka 	银行卡	c=1 d=1 t=499
yin hao 	引号	c=2 d=1.97531 t=23205
yin huan 	隐患	c=1 d=0.0520787 t=31502
yin mi 	隐秘	c=2 d=1.00265 t=25091
yin pin 	音频	c=1 d=1 t=19103
yin ren ru sheng 	引人入胜	c=1 d=0.0689068 t=31502
yin ru 	引入	c=12 d=1.00853 t=21887
yin se 	银色	c=1 d=1 t=29438
yin wei 	因为	c=6 d=0.396531 t=31502
yin xiang 	印象	c=1 d=0.0218184 t=31502
yin yin 	隐隐	c=1 d=1 t=30735
yin yong 	引用	c=5 d=0.0739031 t=31502
yin yue 	隐约	c=1 d=1 t=11606
ying 	应	c=1 d=1 t=1992
ying 	英	c=4 d=2.0732 t=15524
ying 	赢	c=1 d=1 t=23088
ying 	迎	c=5 d=1 t=27860
ying chun 	迎春	c=9 d=1.90223 t=23595
ying fu 	应付	c=1 d=1 t=8845
ying gai 	应该	c=112 d=0.805041 t=31502
ying gong 	应共	c=1 d=1 t=1978
ying guo 	英国	c=3 d=2.87888 t=19971
ying kun gao 	迎困搞	c=1 d=1 t=11402
ying shi 	影视	c=2 d=0.137381 t=31502
ying wen 	英文	c=6 d=2.46225 t=31502
ying xiang 	影响	c=10 d=1.74453 t=24099
ying yong 	应用	c=5 d=1 t=30255
ying yu 	英语	c=5 d=1 t=30386
yo 	哟	c=0 d=0.1 t=9648
yo n 	哟嗯	c=1 d=1 t=2017
yo neng 	哟能	c=2 d=1.00029 t=1768
yo sheng en 	哟生嗯	c=1 d=1 t=408
yo shu 	哟熟	c=2 d=1 t=30478
yong 	用	c=272 d=2.74446 t=31502
yong de 	用的	c=1 d=1 t=16443
yong gong 	用工	c=1 d=1 t=28575
yong guo 	用过	c=1 d=1 t=10686
yong hu 	用户	c=15 d=1.00225 t=31403
yong kong 	用空	c=1 d=1 t=20843
yong li 	用例	c=4 d=1 t=27238
yong pin 	用品	c=1 d=1 t=2561
yong wan 	用完	c=2 d=1 t=26187
yong yong 	用用	c=3 d=1.0607 t=23279
yong you 	拥有	c=1 d=1 t=4776
yong yu 	用于	c=2 d=1.93707 t=10323
yong yuan 	永远	c=2 d=1 t=13804
you 	优	c=1 d=1 t=20392
you 	又	c=39 d=1.19593 t=31426
you 	右	c=3 d=1.25158 t=24273
you 	有	c=370 d=1.28181 t=31502
you 	由	c=1 d=1 t=29668
you bian 	右边	c=3 d=2.16355 t=18534
you dao 	有道	c=1 d=1 t=15407
you de 	又得	c=2 d=1.00003 t=30838
you di 	邮递	c=1 d=1 t=29010
you di fang shi 	有的放矢	c=1 d=1 t=19445
you dian 	有点	c=34 d=0.99005 t=31502
you du 	有毒	c=2 d=1.98511 t=21988
you fa 	诱发	c=1 d=1 t=19896
you ge 	有个	c=6 d=1.00174 t=29160
you guan 	有关	c=2 d=1 t=31000
you ha 	有哈	c=1 d=1 t=20103
you hao 	友好	c=2 d=1.00456 t=23577
you hao 	油耗	c=1 d=1 t=30768
you hua 	优化	c=46 d=1.62321 t=31502
you huan 	忧患	c=1 d=1 t=28806
you hui 	优惠	c=1 d=1 t=4603
you ji 	邮寄	c=1 d=1 t=3277
you kong 	有空	c=24 d=0.0111647 t=31502
you le 	有了	c=1 d=1 t=23835
you ma 	邮码	c=1 d=1 t=29025
you mei you 	有没有	c=9 d=0.371577 t=31502
you mu lu 	有目录	c=1 d=0.0614212 t=31502
you qu 	又去	c=1 d=0.0281559 t=31502
you qu 	有趣	c=2 d=0.669966 t=31502
you ren 	有人	c=2 d=1 t=18972
you shi 	有事	c=9 d=1.0001 t=31004
you shi hou 	有时候	c=2 d=1.0001 t=31012
you shi jian 	有时间	c=1 d=1 t=11845
you tu pian 	有图片	c=1 d=1 t=27390
you tui 	右腿	c=2 d=1.99501 t=27175
you wo 	有我	c=1 d=1 t=26552
you wu 	有误	c=11 d=1.8781 t=28389
